timestamp,residual_load,total_load,solar,wind_onshore,wind_offshore,wind_total,weather_temperature,weather_wind_100m,weather_radiation,weather_temperature_forecast,weather_wind_100m_forecast,weather_radiation_forecast,hour,day_of_week,month,day_of_year,week_of_year,is_weekend,is_holiday,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,total_load_lag24,total_load_lag168,solar_lag24,solar_lag168,wind_total_lag24,wind_total_lag168
2024-04-09 04:00:00+00:00,34695.5,54690.25,112.75,16249.25,3632.75,19882.0,13.571869261578554,25.343944818037976,0.0,14.570016260874237,24.043916671357376,0.0,4,1,4,100,15,0,0,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,51611.75,53492.75,51.0,24.5,8321.0,35827.0
2024-04-09 05:00:00+00:00,35754.5,59095.25,2247.75,17296.75,3796.25,21093.0,13.376936531111635,25.3223424314346,2.138415603979821,14.253396149607298,27.348519928062387,3.1828727343850884,5,1,4,100,15,0,0,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,56783.25,57892.0,1926.75,1252.5,8033.5,35262.5
2024-04-09 06:00:00+00:00,33430.0,62098.75,6942.25,16779.5,4947.0,21726.5,13.771568260756618,28.80910403481013,61.246933856502245,14.536710566482917,29.47409641039475,52.46481106340393,6,1,4,100,15,0,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,60084.0,61908.75,7687.25,5844.75,7148.0,35692.75
2024-04-09 07:00:00+00:00,29208.25,62739.75,12593.75,15462.5,5475.25,20937.75,14.240932621196375,30.951902030590716,156.96053671524663,15.170041085764248,30.540992493931576,148.2477837680785,7,1,4,100,15,0,0,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,61340.5,64094.25,16430.75,11766.5,5380.0,38755.5
2024-04-09 08:00:00+00:00,25516.5,63152.5,17385.5,15630.0,4620.5,20250.5,14.33688617216822,30.7327337157173,267.4783183856502,15.8915965072434,27.994688571368055,240.70194182592977,8,1,4,100,15,0,0,0.8660254037844387,-0.49999999999999983,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,61121.25,64968.25,25929.75,16495.5,3506.5,41464.5
2024-04-09 09:00:00+00:00,22337.5,63477.75,19775.0,17645.25,3720.0,21365.25,14.127072990430008,31.795444686181433,358.2170375560538,16.31059980114533,24.96068824643961,317.40569150309915,9,1,4,100,15,0,0,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,61202.0,65546.5,31998.5,19642.5,2460.25,41905.0
2024-04-09 10:00:00+00:00,19330.25,63788.5,20373.5,20113.75,3971.0,24084.75,13.439324862403875,31.939018987341772,360.82930493273545,16.183468911797252,28.369446604805983,359.47003647985537,10,1,4,100,15,0,0,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,60895.5,65125.0,34290.5,21948.5,1999.5,41159.0
2024-04-09 11:00:00+00:00,16950.75,62917.5,19714.0,22318.5,3934.25,26252.75,13.104329835129768,33.91029502900844,392.0765470852018,15.829067813296572,30.981955261842497,373.9062709839876,11,1,4,100,15,0,0,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,59269.5,63657.75,33830.0,22655.0,2366.5,40978.75
2024-04-09 12:00:00+00:00,15583.0,62052.0,17318.25,24393.5,4757.25,29150.75,12.709741594644322,35.095121967299576,357.1381165919282,15.21757428053657,29.02838481582044,361.1018417484504,12,1,4,100,15,0,0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,57604.25,61327.0,31156.25,23238.5,3372.25,38790.0
2024-04-09 13:00:00+00:00,16581.5,61037.75,13314.5,26144.0,4997.75,31141.75,12.53356181929264,36.23199037447257,309.13362387892374,14.872144515553794,31.883108376567662,314.2515754132231,13,1,4,100,15,0,0,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,58119.5,60007.5,26761.75,21653.75,3641.0,37562.75
2024-04-09 14:00:00+00:00,19030.25,60985.25,9105.75,27889.5,4959.75,32849.25,12.172056480441718,39.19947817774261,288.9195711883408,14.267794918869344,31.100741720181876,251.9426217071281,14,1,4,100,15,0,0,-0.4999999999999998,-0.8660254037844388,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,56677.75,59373.0,20487.0,17573.0,3359.75,37126.75
2024-04-09 15:00:00+00:00,21704.5,60882.25,5534.5,28133.5,5509.75,33643.25,11.755417088457824,38.24705399525317,208.02929932735427,13.550601011793296,30.945392452745196,199.4847841877583,15,1,4,100,15,0,0,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,56914.75,59483.0,12838.5,11762.0,3616.75,35401.25
2024-04-09 16:00:00+00:00,25856.5,62027.5,2556.5,26904.25,6710.25,33614.5,11.087845424908918,35.82303138185654,121.83706838565024,12.896299016196338,32.1549769244222,134.0470267303719,16,1,4,100,15,0,0,-0.8660254037844384,-0.5000000000000004,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,57777.0,60470.25,5734.0,4972.75,4140.5,30824.5
2024-04-09 17:00:00+00:00,28751.25,61788.25,654.25,25775.0,6607.75,32382.75,10.449003451815129,33.829921875,71.708817264574,12.156579825432049,32.1130746426186,70.86200082321797,17,1,4,100,15,0,0,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,58469.0,60523.75,1095.5,671.5,5250.0,26122.5
2024-04-09 18:00:00+00:00,27843.75,60487.25,27.75,26716.5,5899.25,32615.75,9.690454256190622,33.00737902162447,19.127952284192823,11.32635358427231,31.510720680348456,21.828899440292485,18,1,4,100,15,0,0,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,57300.5,58952.5,21.25,13.0,7834.25,24462.75
2024-04-09 19:00:00+00:00,25066.25,57710.25,6.5,27859.5,4778.0,32637.5,9.079169376954042,31.896649525316455,0.2511210762331838,10.58374834610844,32.557770138527815,0.1650309917355372,19,1,4,100,15,0,0,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,54479.25,56336.75,4.75,7.75,11286.75,23652.25
2024-04-09 20:00:00+00:00,22710.5,53368.0,5.0,26766.75,3885.75,30652.5,8.621175731539921,30.848723299050633,0.0,9.994535893113206,33.442776839927745,0.0,20,1,4,100,15,0,0,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,50741.0,52714.25,3.5,4.5,13450.0,22545.75
2024-04-09 21:00:00+00:00,19593.0,49873.25,6.0,26224.75,4049.5,30274.25,8.238198917683317,30.637268591772152,0.0,9.567621906489698,34.40316907923351,0.0,21,1,4,100,15,0,0,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,46381.0,49385.75,5.0,4.0,14534.0,22102.5
2024-04-09 22:00:00+00:00,17160.0,46844.25,6.0,25507.75,4170.5,29678.25,7.972979651855353,31.238971189345992,0.0,9.225397273336252,35.37292786800586,0.0,22,1,4,100,15,0,0,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,43112.0,46837.75,5.0,4.0,15397.0,20816.5
2024-04-09 23:00:00+00:00,16769.5,45679.0,6.25,24415.5,4487.75,28903.25,7.685117925133415,30.83912348364979,0.0,8.870619078148726,34.56489988983116,0.0,23,1,4,100,15,0,0,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,41667.75,45176.75,5.0,4.0,16272.0,19774.5
2024-04-10 00:00:00+00:00,16747.75,44083.0,6.25,22862.5,4466.5,27329.0,7.381827568968724,30.034881658755275,0.0,8.635564483954761,33.97002222191072,0.0,0,2,4,101,15,0,0,0.0,1.0,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,40980.25,44523.25,5.0,4.0,17493.0,18414.0
2024-04-10 01:00:00+00:00,18400.25,44388.5,6.5,21498.5,4483.25,25981.75,7.050117673433193,28.559095793776372,0.0,8.373438584559226,34.193710631122826,0.0,1,2,4,101,15,0,0,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,42090.0,44817.5,5.0,4.0,17332.25,16599.0
2024-04-10 02:00:00+00:00,20811.25,45269.25,7.0,20138.0,4313.0,24451.0,6.745071285855397,27.860020437763712,0.0,8.10169355188948,33.63586082591669,0.0,2,2,4,101,15,0,0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,43157.25,45892.5,5.75,4.25,16719.0,15476.75
2024-04-10 03:00:00+00:00,25172.0,48518.5,6.25,18959.5,4380.75,23340.25,6.424845033986116,26.13197059599156,0.0,7.752460450469292,31.98558184860242,0.0,3,2,4,101,15,0,0,0.7071067811865475,0.7071067811865476,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,46770.25,48677.25,6.5,4.5,17699.0,14180.25
2024-04-10 04:00:00+00:00,32534.0,56122.25,46.5,18456.5,5085.25,23541.75,6.110721313419292,24.495721420094934,0.0,7.570975439662215,32.05710907243101,0.0,4,2,4,101,15,0,0,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,54690.25,54611.75,112.75,39.5,19882.0,13297.25
2024-04-10 05:00:00+00:00,38171.5,60930.75,1668.25,16421.0,4670.0,21091.0,5.951964315494516,23.179647778217294,1.3859492362668162,7.393035251149613,30.721238574189737,2.5067364527174263,5,2,4,101,15,0,0,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,59095.25,58935.25,2247.75,1458.5,21093.0,12426.75
2024-04-10 06:00:00+00:00,39308.0,63654.25,6239.75,14599.5,3507.0,18106.5,6.645321292326871,21.957678665611816,41.89536715246637,7.680951007640191,29.016752172857004,47.49700897469008,6,2,4,101,15,0,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,62098.75,61945.75,6942.25,5078.0,21726.5,11649.0
2024-04-10 07:00:00+00:00,34626.0,64363.25,12863.5,14174.25,2699.5,16873.75,7.529098686130567,18.328282074103377,124.74320067264574,8.533261468042669,27.34950461196021,140.61428323540807,7,2,4,101,15,0,0,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,62739.75,61737.75,12593.75,9200.25,20937.75,11786.5
